NDVI,NDWI,NDBI,ICE,Clase
0.8664276,-0.72066116,-0.3806366,0.40327254,2
0.86108637,-0.7287014,-0.38227513,0.39948544,2
0.841236,-0.728,-0.32160613,0.37149984,2
0.8235471,-0.73873097,-0.26114118,0.34236974,2
0.82537067,-0.73215216,-0.3081464,0.35869882,2
0.833133,-0.7086508,-0.3687612,0.3854647,2
0.8215147,-0.69555455,-0.35949594,0.37949523,2
0.80048925,-0.6854962,-0.30111963,0.35348126,2
0.82122904,-0.68824446,-0.2746823,0.3553703,2
0.8472827,-0.716965,-0.36936936,0.39105916,2
0.84599644,-0.73544973,-0.32573947,0.3736301,2
0.81512606,-0.7148775,-0.15026626,0.3096674,2
0.81750464,-0.67938054,-0.25342464,0.3489036,2
0.8393352,-0.69899976,-0.35359526,0.3859462,2
0.8512711,-0.70877194,-0.32494473,0.38136458,2
0.8457605,-0.7149644,-0.37153712,0.3913485,2
0.85276073,-0.732077,-0.34756973,0.3842359,2
0.8416422,-0.7372061,-0.29595873,0.3621675,2
0.8231217,-0.7305263,-0.26146173,0.34389412,2
0.8135495,-0.74825567,-0.23867905,0.32872733,2
0.8121547,-0.7346154,-0.2957443,0.34787756,2
0.81782943,-0.72347265,-0.31349555,0.35826886,2
0.8073593,-0.7119426,-0.25942686,0.33911917,2
0.841663,-0.7238667,-0.35900784,0.3837605,2
0.8326564,-0.6949662,-0.41775334,0.40266097,2
0.74721825,-0.67185366,-0.2459817,0.3130329,2
0.7888336,-0.732334,-0.30326217,0.33892867,2
0.8327402,-0.73888576,-0.2821577,0.35324025,2
0.8258773,-0.7499358,-0.28072155,0.34716797,2
0.83571076,-0.7245841,-0.32199788,0.36953792,2
0.851041,-0.7165605,-0.34204793,0.3848228,2
0.86581016,-0.7197368,-0.42413512,0.41619825,2
0.8596612,-0.7265725,-0.45072132,0.4197325,2
0.8467332,-0.7122905,-0.4130529,0.40482438,2
0.8295964,-0.71789473,-0.3233863,0.36823514,2
0.8391409,-0.73747414,-0.33588028,0.3728397,2
0.84726226,-0.73184735,-0.3897019,0.39417222,2
0.85405964,-0.73544973,-0.41231734,0.40363508,2
0.8500203,-0.7193445,-0.35129532,0.38652983,2
0.77963275,-0.71589535,-0.3211464,0.34298122,2
0.7604703,-0.67845887,-0.396067,0.36336344,2
0.79257363,-0.70454544,-0.33907223,0.35709938,2
0.8204724,-0.7288136,-0.24457204,0.33784512,2
0.8424592,-0.71671516,-0.2913651,0.3652961,2
0.84615386,-0.7407407,-0.30687907,0.3669925,2
0.832039,-0.7106239,-0.35887474,0.38155714,2
0.8173956,-0.69531494,-0.3365949,0.3706133,2
0.7911434,-0.6879477,-0.3330054,0.35788378,2
